Set ID,Set Name,Set Code,Series,Language,Release Date,Total Cards,Total Value (Estimated),Average Card Value
118,Fusion Arts,s8,Sword & Shield,JAPANESE,"Fri, 24 Sep 2021 00:00:00 GMT",129,654.8336666666664,5.076229974160205
108,Evolving Skies,,Sword & Shield,ENGLISH,"Fri, 27 Aug 2021 00:00:00 GMT",369,5447.740000000002,14.763523035230357
477,V-UNION Special Card Sets,sp5,Sword & Shield,JAPANESE,"Fri, 20 Aug 2021 00:00:00 GMT",13,99.73799999999996,7.672153846153843
119,Blue Sky Stream,s7R,Sword & Shield,JAPANESE,"Fri, 09 Jul 2021 00:00:00 GMT",90,2056.823333333333,22.853592592592587
458,Sword & Shield Family Pokémon Card Game,sH,Sword & Shield,JAPANESE,"Fri, 09 Jul 2021 00:00:00 GMT",0,0.0,0.0
120,Towering Perfection,s7D,Sword & Shield,JAPANESE,"Fri, 09 Jul 2021 00:00:00 GMT",90,382.08333333333354,4.245370370370373
26,Chilling Reign,,Sword & Shield,ENGLISH,"Fri, 18 Jun 2021 00:00:00 GMT",370,1652.109999999998,4.465162162162157
420,Eevee Heroes VMAX Special Set,sp4,Sword & Shield,JAPANESE,"Tue, 15 Jun 2021 00:00:00 GMT",8,43.6225,5.4528125
425,Inteleon VMAX High-Class Deck,sGI,Sword & Shield,JAPANESE,"Fri, 28 May 2021 00:00:00 GMT",24,66.125,2.7552083333333335
423,Gengar VMAX High-Class Deck,sGG,Sword & Shield,JAPANESE,"Fri, 28 May 2021 00:00:00 GMT",21,616.6068240093241,29.362229714729718
115,Eevee Heroes,s6A,Sword & Shield,JAPANESE,"Fri, 28 May 2021 00:00:00 GMT",101,4664.611016053393,46.184267485677154
122,Silver Lance,s6H,Sword & Shield,JAPANESE,"Fri, 23 Apr 2021 00:00:00 GMT",95,461.4616666666668,4.857491228070177
121,Jet Black Spirit,s6K,Sword & Shield,JAPANESE,"Fri, 23 Apr 2021 00:00:00 GMT",95,624.1663333333337,6.570171929824565
449,Silver Lance & Jet-Black Spirit Jumbo Pack Set,sp3,Sword & Shield,JAPANESE,"Fri, 23 Apr 2021 00:00:00 GMT",0,0.0,0.0
116,Matchless Fighter,s5A,Sword & Shield,JAPANESE,"Fri, 19 Mar 2021 00:00:00 GMT",96,1016.214833333333,10.585571180555553
